date,temperature_max,temperature_avg,temperature_min,wind_speed_max,wind_speed_avg,wind_speed_min
4/15/1976,60,52.8,0,37,15.6,3
4/16/1976,62,54.9,46,29,15.4,6
8/12/1976,74,50.5,0,89,13.4,3
7/24/1977,76,64.8,0,35,8.8,0
8/4/1977,76,65.5,0,46,10.5,2
10/10/1977,73,56.1,0,48,8.6,0
11/27/1977,84,69.4,56,28,10.5,0
12/18/1977,62,52.1,0,69,13.8,0
2/10/1978,60,56.5,53,33,22.4,13
4/16/1978,61,55.5,48,28,13.1,3
8/10/1978,79,52.9,0,60,9.3,0
8/11/1978,75,55.2,0,59,9.9,0
9/9/1978,75,58,0,61,11.1,0
9/11/1978,76,63.4,0,59,8.2,0
9/21/1978,90,68.1,0,63,11.6,0
10/4/1978,72,47.5,0,35,8.1,0
10/28/1978,69,49.4,0,45,6.8,0
12/1/1978,63,46.8,0,28,7.9,3
12/7/1978,53,41.9,0,63,11.2,3
1/25/1979,57,46.3,0,31,11.2,0
2/21/1979,58,44,0,28,17.6,13
4/13/1979,72,57,0,59,9.1,0
10/20/1979,69,50.4,0,30,15.8,5
10/28/1979,70,49.7,0,29,9.3,0
10/29/1979,76,66.3,60,28,18.5,10
3/21/1980,60,52.2,0,30,11.1,0
4/1/1980,62,53.6,0,28,17.1,8
5/23/1980,64,59.3,55,35,16.8,7
5/24/1980,63,56.4,51,28,16,7
10/14/1980,70,64.6,61,29,12.2,0
10/15/1980,67,61.7,57,28,13.4,3
3/13/1981,61,52.6,0,32,17.3,6
3/26/1981,61,57.3,54,37,23.3,9
11/16/1981,66,40.6,0,53,7.6,0
1/1/1982,59,46.9,0,29,15.1,5
1/2/1982,56,49.8,0,30,14.6,0
1/21/1982,54,45,0,32,16.7,5
1/28/1982,57,45.9,0,29,12.8,0
7/12/1982,73,48.6,0,33,8.7,3
9/7/1982,78,44.6,0,35,6.4,0
11/9/1982,60,37.7,0,28,12.1,3
11/30/1982,62,41.8,0,48,27.3,10
12/1/1982,62,57,53,28,17.2,6
12/22/1982,62,37.2,0,29,15.1,7
12/23/1982,60,56,52,28,17.9,8
1/27/1983,59,35.5,0,33,17.6,3
1/28/1983,60,48.4,0,29,13.7,0
1/29/1983,58,50.9,0,37,13.6,3
2/18/1983,63,40.8,0,31,10.4,0
3/4/1983,62,49.9,0,28,9.2,0
3/24/1983,58,48.6,0,31,15.8,2
4/2/1983,69,61.9,54,29,13,0
4/3/1983,65,59.5,56,32,21.7,16
4/12/1983,57,53.2,48,29,14,3
11/20/1983,63,44.8,0,30,14.3,0
1/26/1984,72,54.6,0,32,12.8,0
2/16/1984,62,42.9,0,35,14.7,0
3/31/1984,63,52.9,0,38,14.9,0
4/19/1984,64,57,0,32,20.8,7
4/20/1984,69,61.9,55,30,18.1,9
4/21/1984,77,66.1,55,30,12.6,5
4/25/1984,68,56.6,0,30,14.9,3
4/26/1984,61,56.7,53,31,17.2,5
5/26/1984,71,56.1,0,58,9.1,0
12/13/1984,59,54.3,49,28,17.6,8
12/15/1984,59,49.6,0,28,10.8,6
3/2/1985,55,50.3,0,35,22,5
3/18/1985,58,45.5,0,33,10.4,0
11/11/1985,60,38.3,0,29,15.8,7
11/29/1985,61,32.6,0,46,17.3,3
2/3/1986,61,48.5,0,30,9.5,0
3/10/1986,59,36.8,0,29,16.1,6
4/16/1986,63,57.6,51,28,12,0
5/6/1986,62,53.9,0,30,14.5,0
2/18/1987,69,60.2,48,28,11.1,0
2/23/1987,57,50.6,44,35,17.3,3
3/15/1987,60,54.7,49,35,18.7,9
3/19/1987,61,55.7,50,32,15.6,0
4/3/1987,63,45.9,0,28,17.5,5
5/25/1987,65,60.2,56,28,14.8,3
12/4/1987,63,40,0,28,12.3,3
12/16/1987,52,32.4,0,32,21.1,12
