DateTime,Wind Speed High,Station Wind Speed High,Wind Gust High,Station Wind Gust High
2025-01-07T22:15,35.1,KCAMALIB158,47.4,KCAMALIB158
2025-01-07T22:30,34.2,KCAMALIB158,57.9,KCAMALIB158
2025-01-07T22:45,40.8,KCAMALIB52,42.9,KCAMALIB158
2025-01-07T23:00,35.3,KCAMALIB158,54.8,KCAMALIB158
2025-01-07T23:15,35.6,KCAMALIB158,50.3,KCAMALIB158
2025-01-07T23:30,35.9,KCAMALIB52,36,KCAMALIB52
2025-01-07T23:45,26.4,KCASANTA2881,38.5,KCAMALIB158
2025-01-08T00:00,28,KCAMALIB114,40,KLAX
2025-01-08T00:15,28,KCAMALIB114,40,KLAX
2025-01-08T00:30,28,KCAMALIB114,40,KLAX
2025-01-08T00:45,28,KCAMALIB114,40,KLAX
2025-01-08T01:00,18,KLAX,32,KLAX
2025-01-08T01:15,18,KLAX,32,KLAX
2025-01-08T01:30,18,KLAX,32,KLAX
2025-01-08T01:45,18,KLAX,32,KLAX
