Date,Temperature Max,Temperature Avg,Temperature Min,Dew Point Max,Dew Point Avg,Dew Point Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Wind Speed Avg,Wind Speed Min,Pressure Max,Pressure Avg,Pressure Min,Total Precipitation Inches
12/21/1956,64,54.5,47,50,29,0,80,47.6,21,28,11,0,29.9,29.8,29.7,0
3/13/1957,66,57.5,52,49,37.6,22,80,51.3,19,29,13.4,0,29.9,29.8,29.8,0
3/21/1957,63,57.6,54,51,43,20,86,62,26,37,13.5,0,30,29.9,29.9,0
4/1/1957,69,61.3,55,52,35,0,89,43.5,21,35,19,0,29.8,29.7,29.7,0
5/14/1957,66,61.3,58,55,50.8,46,87,69.1,50,36,15.8,3,29.9,29.8,29.8,0
5/19/1957,67,61.2,57,60,53.1,47,97,76.4,52,28,18.8,2,29.8,29.7,29.7,0
12/5/1957,59,55,51,53,49.1,46,93,81,64,32,11.9,3,30,29.9,29.8,0
2/25/1958,66,60.1,55,56,50,42,97,70.5,52,35,20.2,7,29.9,29.8,29.7,0
4/3/1958,63,58.1,55,55,46.8,38,87,67.8,46,30,20,9,29.8,29.7,29.6,0
4/6/1958,60,52.8,48,50,45.9,43,89,77.9,62,31,11.4,2,29.9,29.7,29.6,0
5/22/1958,75,67,58,59,56.3,54,87,69.3,55,28,11.1,0,29.8,29.8,29.7,0
11/15/1958,62,56.5,48,42,31.1,23,53,39,25,31,17.4,8,29.8,29.7,29.6,0
1/6/1959,65,57.9,53,55,53.3,51,97,85,63,31,10,2,30,29.8,29.6,0
3/24/1959,68,61.2,55,50,38.3,31,60,43.6,29,29,17.3,6,29.9,29.9,29.9,0
5/3/1959,66,60,55,50,46.8,39,83,63.2,43,32,14.4,0,29.9,29.8,29.8,0
10/29/1959,72,64.5,56,60,48,18,93,63.9,16,29,10,0,29.7,29.6,29.5,0
12/13/1959,59,55.1,51,49,24.6,0,86,40.8,23,35,18,6,29.9,29.9,29.8,0
12/25/1959,62,57.8,53,54,46.4,0,96,71.8,38,32,16.9,3,29.9,29.7,29.5,0
12/31/1959,58,51.4,46,42,29.3,0,64,46.5,23,30,16.4,7,29.8,29.7,29.6,0
2/9/1960,60,56.5,53,51,48,44,81,73,67,29,22.2,13,29.8,29.8,29.8,0
2/10/1960,59,55,51,49,43.4,35,86,65.8,47,29,20,6,29.8,29.7,29.7,0
2/18/1960,60,53,45,50,44.1,36,83,72.1,59,29,13.6,3,30,29.8,29.7,0
3/15/1961,60,56.2,51,56,48.8,42,93,77,60,36,16.1,0,29.9,29.8,29.8,0
4/23/1961,62,55.7,47,45,37.4,0,74,54.8,32,31,13.9,5,30,29.9,29.8,0
5/11/1961,66,59.2,53,48,45.8,43,77,62,43,29,12.6,2,29.9,29.9,29.9,0
5/12/1961,66,58.2,50,47,43.7,30,77,60.1,27,30,12.9,0,29.9,29.9,29.8,0
10/28/1961,70,63,56,56,36,0,90,47.3,0,29,14.7,0,29.8,29.7,29.6,0
1/20/1962,57,53.7,50,56,48.1,40,97,82.1,68,28,15.1,7,29.8,29.6,29.5,0
3/9/1962,56,52.3,48,50,40.6,0,93,72.7,48,35,13.1,2,29.8,29.8,29.6,0
4/20/1962,72,61.9,56,50,36.7,0,72,46.9,33,28,16.5,6,29.9,29.8,29.7,0
11/16/1962,65,57.6,47,53,40.8,0,93,64.2,25,28,11.1,0,30,29.9,29.8,0
3/2/1963,68,59.8,51,56,40.5,0,93,55.5,0,29,12.4,3,29.8,29.7,29.6,0
3/14/1963,65,56.1,51,52,48.8,45,96,77.2,58,28,10.6,2,29.9,29.9,29.8,0
3/16/1963,56,50.2,45,49,42,34,89,74.9,45,28,10.4,5,29.8,29.7,29.6,0
