StationCode,StationName,StationFullAddress,Lat,Lng,FireDistanceMiles,KCATOPANDistanceMiles,KLAXDistanceMiles,Anomaly
KCATOPAN31,Topanga,"Topanga, CA 90290",34.09725,-118.6125,3.31,1.19,15.88,false
KCATOPAN32,Topanga,"Topanga, CA 90290",34.09725,-118.6125,3.31,1.19,15.88,false
KCATOPAN40,Topanga,"Topanga, CA 90290",34.09725,-118.6125,3.31,1.19,15.88,false
KCATOPAN43,Topanga,"Topanga, CA 90290",34.09725,-118.6125,3.31,1.19,15.88,false
KCATOPAN47,Topanga,"Topanga, CA 90290",34.09725,-118.6125,3.31,1.19,15.88,false
KCATOPAN52,Topanga,"Topanga, CA 90290",34.09725,-118.6125,3.31,1.19,15.88,false
KCATOPAN55,Topanga,"Topanga, CA 90290",34.09725,-118.6125,3.31,1.19,15.88,false
KCATOPAN62,Topanga,"Topanga, CA 90290",34.09725,-118.6125,3.31,1.19,15.88,false
KCALOSAN1130,West Los Angeles,"West Los Angeles, CA 90025",34.04551,-118.44583,6.88,9.18,7.49,false
KCASANTA4632,Wilshire,"Wilshire, Santa Monica, CA 90403",34.03164,-118.48975,5.15,7.24,7.77,false
KCASANTA2881,Wilshire/Montana,"Wilshire/Montana, Santa Monica, CA 90403",34.023935,-118.493419,5.35,7.35,7.49,false
KLAX,Los Angeles International Airport,"1 World Way, Los Angeles, CA 90045",33.942387,-118.416062,12.50,14.34,0.44,false
KTOA,Zamperini Fld,"Zamperini Field, 3301 Airport Drive, Torrance, CA 90505",33.80338,-118.33961,22.83,24.44,10.34,false
KCASANTA4447,Rustic Canyon,Rustic Canyon Park,34.035,-118.504,4.38,6.42,8.46,false
