"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"2025-1-13|1:53 AM","51ʡF","27ʡF","39ʡ%","NE","3ʡmph","0ʡmph","29.99ʡin","0.0ʡin","Fair"
"2025-1-13|2:53 AM","48ʡF","25ʡF","41ʡ%","ESE","5ʡmph","0ʡmph","29.99ʡin","0.0ʡin","Fair"
"2025-1-13|3:53 AM","48ʡF","22ʡF","36ʡ%","CALM","0ʡmph","0ʡmph","29.99ʡin","0.0ʡin","Fair"
"2025-1-13|4:53 AM","48ʡF","22ʡF","36ʡ%","CALM","0ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Fair"
"2025-1-13|5:53 AM","45ʡF","22ʡF","40ʡ%","NE","3ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Fair"
"2025-1-13|6:53 AM","48ʡF","21ʡF","34ʡ%","CALM","0ʡmph","0ʡmph","30.01ʡin","0.0ʡin","Fair"
"2025-1-13|7:53 AM","45ʡF","22ʡF","40ʡ%","CALM","0ʡmph","0ʡmph","30.02ʡin","0.0ʡin","Fair"
"2025-1-13|8:53 AM","47ʡF","24ʡF","41ʡ%","CALM","0ʡmph","0ʡmph","30.04ʡin","0.0ʡin","Fair"
"2025-1-13|9:53 AM","57ʡF","22ʡF","26ʡ%","CALM","0ʡmph","0ʡmph","30.06ʡin","0.0ʡin","Fair"
"2025-1-13|10:53 AM","60ʡF","25ʡF","26ʡ%","CALM","0ʡmph","0ʡmph","30.09ʡin","0.0ʡin","Fair"
"2025-1-13|11:53 AM","63ʡF","28ʡF","27ʡ%","VAR","3ʡmph","0ʡmph","30.08ʡin","0.0ʡin","Fair"
"2025-1-13|12:53 PM","65ʡF","30ʡF","27ʡ%","VAR","5ʡmph","0ʡmph","30.06ʡin","0.0ʡin","Fair"
"2025-1-13|1:53 PM","66ʡF","32ʡF","28ʡ%","ESE","6ʡmph","0ʡmph","30.04ʡin","0.0ʡin","Fair"
"2025-1-13|2:53 PM","66ʡF","29ʡF","25ʡ%","W","9ʡmph","0ʡmph","30.04ʡin","0.0ʡin","Fair"
"2025-1-13|3:53 PM","67ʡF","31ʡF","26ʡ%","S","7ʡmph","22ʡmph","30.04ʡin","0.0ʡin","Fair"
"2025-1-13|4:53 PM","63ʡF","28ʡF","27ʡ%","WSW","9ʡmph","0ʡmph","30.05ʡin","0.0ʡin","Fair"
"2025-1-13|5:53 PM","63ʡF","27ʡF","26ʡ%","WSW","5ʡmph","0ʡmph","30.06ʡin","0.0ʡin","Fair"
"2025-1-13|6:53 PM","58ʡF","22ʡF","25ʡ%","W","6ʡmph","0ʡmph","30.07ʡin","0.0ʡin","Fair"
"2025-1-13|7:53 PM","58ʡF","27ʡF","31ʡ%","NW","6ʡmph","0ʡmph","30.09ʡin","0.0ʡin","Fair"
"2025-1-13|8:53 PM","57ʡF","24ʡF","28ʡ%","NNW","9ʡmph","0ʡmph","30.11ʡin","0.0ʡin","Fair"
"2025-1-13|9:53 PM","57ʡF","23ʡF","27ʡ%","N","7ʡmph","0ʡmph","30.13ʡin","0.0ʡin","Fair"
"2025-1-13|10:53 PM","55ʡF","20ʡF","25ʡ%","CALM","0ʡmph","0ʡmph","30.14ʡin","0.0ʡin","Fair"
"2025-1-13|11:53 PM","55ʡF","19ʡF","24ʡ%","CALM","0ʡmph","0ʡmph","30.14ʡin","0.0ʡin","Fair"
"2025-1-13|12:53 AM","56ʡF","20ʡF","25ʡ%","WNW","3ʡmph","0ʡmph","30.14ʡin","0.0ʡin","Fair"
