"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"1:53 AM","52ʡF","49ʡF","89ʡ%","E","5ʡmph","0ʡmph","29.97ʡin","0.0ʡin","Fair"
"3:53 AM","52ʡF","49ʡF","89ʡ%","E","3ʡmph","0ʡmph","29.96ʡin","0.0ʡin","Partly Cloudy"
