"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"2022-06-23|12:53 AM","65ʡF","60ʡF","84ʡ%","WSW","9ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Partly Cloudy"
"2022-06-23|1:53 AM","64ʡF","60ʡF","87ʡ%","WSW","8ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Mostly Cloudy"
"2022-06-23|2:12 AM","64ʡF","60ʡF","87ʡ%","WSW","6ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Mostly Cloudy"
"2022-06-23|2:53 AM","64ʡF","60ʡF","87ʡ%","WSW","8ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Mostly Cloudy"
"2022-06-23|3:53 AM","64ʡF","60ʡF","87ʡ%","WSW","8ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Mostly Cloudy"
"2022-06-23|4:53 AM","64ʡF","60ʡF","87ʡ%","WSW","8ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Mostly Cloudy"
"2022-06-23|5:53 AM","64ʡF","61ʡF","90ʡ%","SW","8ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Cloudy"
"2022-06-23|6:53 AM","64ʡF","61ʡF","90ʡ%","WSW","3ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Cloudy"
"2022-06-23|7:53 AM","65ʡF","61ʡF","87ʡ%","WSW","5ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Mostly Cloudy"
"2022-06-23|8:20 AM","66ʡF","61ʡF","84ʡ%","W","6ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Partly Cloudy"
"2022-06-23|8:53 AM","66ʡF","60ʡF","81ʡ%","W","8ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Partly Cloudy"
"2022-06-23|9:05 AM","67ʡF","61ʡF","81ʡ%","WSW","8ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Mostly Cloudy"
"2022-06-23|9:30 AM","66ʡF","61ʡF","83ʡ%","WSW","9ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fog"
"2022-06-23|9:53 AM","67ʡF","60ʡF","79ʡ%","WSW","9ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Mostly Cloudy"
"2022-06-23|10:11 AM","67ʡF","60ʡF","79ʡ%","WSW","9ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Partly Cloudy"
"2022-06-23|10:53 AM","69ʡF","59ʡF","70ʡ%","W","10ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Haze"
"2022-06-23|11:53 AM","70ʡF","59ʡF","68ʡ%","W","12ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Partly Cloudy"
"2022-06-23|12:53 PM","71ʡF","59ʡF","66ʡ%","W","13ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Partly Cloudy"
"2022-06-23|1:53 PM","71ʡF","59ʡF","66ʡ%","WSW","14ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Fair"
"2022-06-23|2:53 PM","72ʡF","59ʡF","64ʡ%","W","17ʡmph","0ʡmph","29.73ʡin","0.0ʡin","Fair"
"2022-06-23|3:53 PM","71ʡF","60ʡF","68ʡ%","WSW","16ʡmph","0ʡmph","29.73ʡin","0.0ʡin","Fair"
"2022-06-23|4:53 PM","71ʡF","60ʡF","68ʡ%","WSW","14ʡmph","0ʡmph","29.72ʡin","0.0ʡin","Fair"
"2022-06-23|5:53 PM","70ʡF","59ʡF","68ʡ%","W","16ʡmph","0ʡmph","29.71ʡin","0.0ʡin","Fair"
"2022-06-23|6:53 PM","69ʡF","60ʡF","73ʡ%","W","17ʡmph","0ʡmph","29.70ʡin","0.0ʡin","Fair"
"2022-06-23|7:53 PM","66ʡF","59ʡF","78ʡ%","W","16ʡmph","0ʡmph","29.71ʡin","0.0ʡin","Fair"
"2022-06-23|8:53 PM","65ʡF","58ʡF","78ʡ%","W","14ʡmph","0ʡmph","29.73ʡin","0.0ʡin","Fair"
"2022-06-23|9:53 PM","64ʡF","59ʡF","84ʡ%","WSW","9ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Fair"
"2022-06-23|10:53 PM","64ʡF","59ʡF","84ʡ%","WSW","6ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Fair"
"2022-06-23|11:53 PM","64ʡF","60ʡF","87ʡ%","WSW","3ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Fair"
