"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"2023-03-12|1:53 AM","57ʡF","56ʡF","96ʡ%","WSW","5ʡmph","0ʡmph","29.98ʡin","0.0ʡin","Fog"
"2023-03-12|3:53 AM","56ʡF","55ʡF","97ʡ%","W","6ʡmph","0ʡmph","29.98ʡin","0.0ʡin","Fog"
