objectid,globalid,CreationDate,Creator,EditDate,Editor,event_name,first_date_of_poc,iou,de_energization_status,de_energization_starting_date,full_restoration_date,customers_notified,customers_de_energized,cancelledremoved_from_scope,mbl_de_energized,counties_de_energized,tribes_de_energized,transmission_circuits_de_energi,distribution_circuits_in_scope,distribution_circuits_de_energi,damageshazards,cfci_de_energized,crcccvcrv_open,x,y
1116,b86c001e-8b56-4604-8d9c-485d02256329,2024-10-25T15:25:37,mabel.wu_CaPUC,2024-10-25T15:25:37,mabel.wu_CaPUC,SCE PSPS EVENT 10/09/24,2024-10-09T19:00:00,SCE,No,,,6873,0,6873,0,0,0,0,14,0,0,0,4,0,0
1117,453bbc13-69ec-4b5f-8d2a-68037c4e3471,2024-11-04T22:31:38,mabel.wu_CaPUC,2024-11-04T22:31:38,mabel.wu_CaPUC,PG&E PSPS Event 10/17/24,2024-10-17T19:00:00,PGE,Yes,2024-10-17T19:00:00,2024-10-20T19:00:00,35072,17367,17850,1136,21,3,3,133,97,3,601,29,0,0
1118,feac29db-136f-4f69-8b1b-0e0d27b5adbf,2024-11-04T22:36:53,mabel.wu_CaPUC,2024-11-04T22:36:53,mabel.wu_CaPUC,SCE PSPS Event 10/17/24,2024-10-17T19:00:00,SCE,Yes,2024-10-17T19:00:00,2024-10-19T19:00:00,146666,11381,135379,315,6,0,0,159,31,0,306,18,0,0
1119,065bfffa-a78e-4226-8039-53a31238458b,2024-11-15T00:14:10,mabel.wu_CaPUC,2024-11-15T00:14:10,mabel.wu_CaPUC,SCE PSPS Event 10/27/24,2024-10-27T19:00:00,SCE,Yes,2024-10-27T19:00:00,2024-10-29T19:00:00,8086,89,8001,2,2,0,0,31,3,0,4,6,0,0
1120,916b7258-5288-433c-8c05-f71f0489de34,2024-11-27T03:46:41,mabel.wu_CaPUC,2024-11-27T03:46:41,mabel.wu_CaPUC,PG&E PSPS Event 11/05/24,2024-11-05T20:00:00,PGE,Yes,2024-11-05T20:00:00,2024-11-08T20:00:00,22541,21357,1169,1275,17,4,5,97,97,11,648,29,0,0
1121,c0daeaf0-c92f-4188-8ed8-c6aeee8d20f2,2024-11-27T03:49:24,mabel.wu_CaPUC,2024-11-27T03:49:24,mabel.wu_CaPUC,SDG&E PSPS Event 11/06/24,2024-11-06T20:00:00,SDGE,Yes,2024-11-06T20:00:00,2024-11-07T20:00:00,24740,1263,23477,65,1,3,152,39,7,0,152,3,0,0
1122,3ea3e1f8-a1a3-406c-8693-ddb385adc8c5,2024-11-27T03:52:24,mabel.wu_CaPUC,2024-11-27T03:52:24,mabel.wu_CaPUC,Liberty Utility PSPS Event 11/11/24,2024-11-11T20:00:00,Liberty Utilities,Yes,2024-11-11T20:00:00,2024-11-11T20:00:00,686,686,0,2,1,1,0,1,1,2,33,1,0,0
1123,4dbf5e80-2ee3-4023-8a1d-9af25f7c3cd7,2024-11-27T03:53:51,mabel.wu_CaPUC,2024-11-27T03:53:51,mabel.wu_CaPUC,Liberty Utility PSPS Event 11/13/24,2024-11-13T20:00:00,Liberty Utilities,No,,,748,0,748,0,0,0,0,3,0,0,0,1,0,0
1124,9eb00686-5320-470e-8eda-6d06c7ac53b4,2024-11-27T18:46:07,mabel.wu_CaPUC,2024-11-27T18:46:07,mabel.wu_CaPUC,SCE PSPS Event 11/11/24,2024-11-13T20:00:00,SCE,Yes,2024-11-13T20:00:00,2024-11-13T20:00:00,27385,637,26751,5,1,0,0,57,1,0,12,8,0,0
1125,a917a73a-aaef-4e6b-82db-b9c26613d65c,2024-12-09T18:55:07,mabel.wu_CaPUC,2024-12-18T22:53:16,mabel.wu_CaPUC,Liberty Utility PSOM Event 11/20/24,2024-11-20T20:00:00,Liberty Utilities,Yes,2024-11-20T20:00:00,2024-11-20T20:00:00,151,56,95,0,1,1,0,1,1,0,4,0,0,0
1126,b2f5ebec-e0f2-441e-83da-e083f0b4c007,2024-12-11T22:47:17,mabel.wu_CaPUC,2024-12-11T22:47:17,mabel.wu_CaPUC,SCE PSPS Event 11/18/24,2024-11-18T20:00:00,SCE,Yes,2024-11-20T20:00:00,2024-11-23T20:00:00,13121,1251,11880,18,1,0,0,26,3,1,33,6,0,0
1127,895bfce0-4c7e-4636-87e7-726551f15bd4,2024-12-12T05:26:07,mabel.wu_CaPUC,2025-02-21T16:23:06,mabel.wu_CaPUC,SCE PSPS Event 11/04/24,2024-11-04T20:00:00,SCE,Yes,2024-11-04T20:00:00,2024-11-08T20:00:00,350812,71044,280091,2223,8,2,0,341,106,11,1776,31,0,0
1128,db7b69d3-89f4-476c-856e-04cfd645c6d5,2024-12-12T17:56:15,mabel.wu_CaPUC,2024-12-12T17:56:15,mabel.wu_CaPUC,Liberty Utility PSPS Event 11/20/24,2024-11-20T20:00:00,Liberty Utilities,Yes,2024-11-20T20:00:00,2024-11-20T20:00:00,1491,1491,0,15,2,1,0,2,2,2,58,2,0,0
1129,efc99608-320d-4571-84dc-27f2129dcc08,2024-12-12T17:58:18,mabel.wu_CaPUC,2024-12-12T17:58:18,mabel.wu_CaPUC,Liberty Utility PSPS Event 11/22/24,2024-11-22T20:00:00,Liberty Utilities,Yes,2024-11-22T20:00:00,2024-11-22T20:00:00,1491,1064,450,12,2,1,0,2,2,1,35,2,0,0
1130,fc34863e-13fc-450b-8575-a815e82b0c3d,2024-12-16T22:45:36,mabel.wu_CaPUC,2024-12-16T22:45:36,mabel.wu_CaPUC,SCE PSPS Event 11/28/24,2024-11-28T20:00:00,SCE,No,,,191,0,191,0,0,0,0,1,0,0,0,1,0,0
1131,883ab723-8669-458b-8557-5376beb7831b,2024-12-23T19:27:41,mabel.wu_CaPUC,2024-12-23T19:27:41,mabel.wu_CaPUC,SCE PSPS Event 12/05/24,2024-12-05T20:00:00,SCE,No,,,58086,0,58086,0,0,0,0,77,0,0,0,9,0,0
1132,75bbb922-67dc-4d97-8b35-41d27ce393c0,2024-12-23T22:07:50,mabel.wu_CaPUC,2024-12-23T22:07:50,mabel.wu_CaPUC,PG&E PSPS Event 12/09/24,2024-12-09T20:00:00,PGE,Yes,2024-12-09T20:00:00,2024-12-10T20:00:00,587,571,15,27,1,0,0,3,2,0,28,1,0,0
1133,b98cc824-aa50-4ea6-83b5-5cc0798a5d40,2024-12-31T19:47:22,mabel.wu_CaPUC,2024-12-31T19:47:22,mabel.wu_CaPUC,SCE PSPS Event 12/09/24,2024-12-09T20:00:00,SCE,Yes,2024-12-09T20:00:00,2024-12-13T20:00:00,275289,51103,224400,1641,7,1,0,274,83,0,1313,20,0,0
1134,a1ffa855-82e0-4af9-8259-de02f133a6a3,2025-01-07T23:37:27,mabel.wu_CaPUC,2025-01-07T23:37:27,mabel.wu_CaPUC,SCE PSPS Event 12/14/24,2024-12-14T20:00:00,SCE,Yes,2024-12-17T20:00:00,2024-12-19T20:00:00,108728,1007,107726,29,4,0,0,133,10,2,97,12,0,0
1135,84c0c143-127d-4f4f-835d-fe2b526e2f86,2025-01-13T17:06:23,mabel.wu_CaPUC,2025-01-13T17:06:23,mabel.wu_CaPUC,SDG&E PSPS Event 12/09/24,2024-12-09T20:00:00,SDGE,Yes,2024-12-09T20:00:00,2024-12-11T20:00:00,116313,51922,64391,3798,3,17,10,116,65,10,1905,12,0,0
1136,9b675f11-e285-4abf-8c8d-bbaaa050e7dc,2025-01-13T19:03:00,mabel.wu_CaPUC,2025-01-13T19:03:00,mabel.wu_CaPUC,SCE PSPS Event 12/26/24,2024-12-26T20:00:00,SCE,No,,,1164,0,1164,0,0,0,0,2,0,0,0,1,0,0
1137,190f28c6-2f4b-4a2e-8f5c-ce7221c38a03,2025-01-15T19:19:36,mabel.wu_CaPUC,2025-01-15T19:19:36,mabel.wu_CaPUC,SCE PSPS Event 12/31/24,2024-12-31T20:00:00,SCE,No,,,40,0,40,0,0,0,0,2,0,0,0,1,0,0
1138,341f702a-dbd8-4b81-8da0-22248c595554,2025-01-31T23:52:15,Ronald.DeMayo_CaPUC,2025-01-31T23:52:15,Ronald.DeMayo_CaPUC,PG&E PSPS Event 01/13/25,2025-01-13T20:00:00,PGE,Yes,2025-01-12T20:00:00,2025-01-15T20:00:00,582,583,0,27,1,0,4,2,2,0,33,1,0,0
1139,fbf56df4-057b-448a-8e75-506116d413bb,2025-02-07T22:47:03,mabel.wu_CaPUC,2025-02-07T22:47:03,mabel.wu_CaPUC,PG&E PSPS Event 01/20/25,2025-01-20T20:00:00,PGE,Yes,2025-01-20T20:00:00,2025-01-21T20:00:00,583,583,0,26,1,0,4,2,2,0,33,1,0,0
1140,b8d7de11-e631-434a-822c-08591d13e912,2025-02-07T23:00:43,mabel.wu_CaPUC,2025-02-07T23:00:43,mabel.wu_CaPUC,PG&E PSPS Event 01/22/25,2025-01-22T20:00:00,PGE,Yes,2025-01-22T20:00:00,2025-01-24T20:00:00,583,583,0,26,1,0,4,2,2,0,33,1,0,0
1142,f593a991-ea7b-4b8e-8a71-936b268734cd,2025-02-18T23:38:20,mabel.wu_CaPUC,2025-03-03T17:38:49,mabel.wu_CaPUC,SDG&E PSPS Event 01/07/25,2025-01-07T20:00:00,SDGE,Yes,2025-01-07T20:00:00,2025-01-16T20:00:00,74652,15103,53114,1336,4,9,3,85,26,12,1211,10,0,0
1143,79f1cf59-a2b4-4fb7-83a5-4b91374bf90c,2025-02-25T17:02:58,mabel.wu_CaPUC,2025-02-25T17:02:58,mabel.wu_CaPUC,SDG&E PSPS Event 01/20/25,2025-01-20T20:00:00,SDGE,Yes,2025-01-20T20:00:00,2025-01-24T20:00:00,83625,29980,53645,1752,3,12,8,91,50,3,1317,12,0,0
1144,4f2dead7-eac7-4d58-8150-316969497525,2025-03-04T00:54:57,mabel.wu_CaPUC,2025-03-04T00:54:57,mabel.wu_CaPUC,SCE PSPS Event 01/03/25,2025-01-03T20:00:00,SCE,Yes,2025-01-04T20:00:00,2025-01-17T20:00:00,712769,363196,382720,11740,8,14,4,619,373,72,6800,31,0,0
1145,0ab63f29-299b-4f34-853c-61ccb0155cb9,2025-03-11T16:23:17,mabel.wu_CaPUC,2025-03-11T16:23:17,mabel.wu_CaPUC,SCE PSPS Event 01/20/25,2025-01-20T20:00:00,SCE,Yes,2025-01-20T20:00:00,2025-01-27T20:00:00,509245,152393,361757,5201,7,12,1,447,225,25,3374,20,0,0
